"run.Number","Pred.Strat","Prey.Start.Con","Pred.Start.Con","Detect.Black","Detect.White","Step","ticks","nearby","mapAware.table","Hour.Map","Black.Table","White.Table","DomainOverlap","Domain.Prey","hour0","hour1","hour2","hour3","hour4","hour5","hour6","hour7","hour8","hour9","hour10","hour11","hour12","hour13","hour14","hour15","hour16","hour17","hour18","hour19","hour20","hour21","hour22","hour23","ihour0","ihour1","ihour2","ihour3","ihour4","ihour5","ihour6","ihour7","ihour8","ihour9","ihour10","ihour11","ihour12","ihour13","ihour14","ihour15","ihour16","ihour17","ihour18","ihour19","ihour20","ihour21","ihour22","ihour23"
1,"Sit-and-Wait","Small","Small",0.9,0.2,1924,1924,"26","[[0 1] [1 0] [2 1] [3 0] [4 0] [5 0] [6 2] [7 0] [8 1] [9 1] [10 2] [11 0] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 42] [1 38] [2 38] [3 42] [4 42] [5 38] [6 39] [7 41] [8 40] [9 37] [10 30] [11 43] [12 35] [13 46] [14 38] [15 42] [16 40] [17 38] [18 40] [19 39] [20 36] [21 46] [22 49] [23 44]]",457,506,963,0,42,38,38,42,42,38,39,41,40,37,30,43,35,46,38,42,40,38,40,39,36,46,49,44,1,0,1,0,0,0,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Sit-and-Wait","Small","Small",0.9,0.2,5377,5377,"47","[[0 1] [1 2] [2 1] [3 1] [4 3] [5 1] [6 2] [7 1] [8 1] [9 2] [10 1] [11 3] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 126] [1 115] [2 113] [3 101] [4 84] [5 106] [6 108] [7 116] [8 115] [9 96] [10 113] [11 109] [12 104] [13 122] [14 111] [15 118] [16 133] [17 121] [18 109] [19 112] [20 122] [21 108] [22 113] [23 114]]",1033,1656,2689,0,126,115,113,101,84,106,108,116,115,96,113,109,104,122,111,118,133,121,109,112,122,108,113,114,1,2,1,1,3,1,2,1,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0
5,"Sit-and-Wait","Small","Small",0.9,0.2,6778,6778,"55","[[0 4] [1 3] [2 2] [3 2] [4 0] [5 3] [6 0] [7 0] [8 2] [9 0] [10 1] [11 1] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 151] [1 108] [2 142] [3 133] [4 142] [5 137] [6 140] [7 148] [8 148] [9 147] [10 139] [11 132] [12 143] [13 151] [14 137] [15 170] [16 135] [17 149] [18 138] [19 123] [20 146] [21 142] [22 129] [23 159]]",1466,1923,3389,0,151,108,142,133,142,137,140,148,148,147,139,132,143,151,137,170,135,149,138,123,146,142,129,159,4,3,2,2,0,3,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4,"Sit-and-Wait","Small","Small",0.9,0.2,12341,12341,"94","[[0 2] [1 4] [2 5] [3 1] [4 6] [5 4] [6 4] [7 2] [8 4] [9 1] [10 4] [11 3] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 339] [1 45] [2 11] [3 341] [4 100] [5 20] [6 214] [7 336] [8 113] [9 345] [10 103] [11 85] [12 356] [13 340] [14 318] [15 360] [16 355] [17 338] [18 344] [19 344] [20 331] [21 332] [22 344] [23 355]]",1857,4312,6169,0,339,45,11,341,100,20,214,336,113,345,103,85,356,340,318,360,355,338,344,344,331,332,344,355,2,4,5,1,6,4,4,2,4,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0
8,"Sit-and-Wait","Small","Small",0.9,0.2,556,556,"9","[[0 0] [1 0] [2 1] [3 1] [4 0] [5 0] [6 0] [7 0] [8 0] [9 0] [10 0] [11 0] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 12] [1 17] [2 12] [3 8] [4 8] [5 14] [6 11] [7 12] [8 10] [9 11] [10 9] [11 13] [12 16] [13 12] [14 8] [15 12] [16 9] [17 13] [18 10] [19 14] [20 14] [21 13] [22 9] [23 11]]",153,125,278,0,12,17,12,8,8,14,11,12,10,11,9,13,16,12,8,12,9,13,10,14,14,13,9,11,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Sit-and-Wait","Small","Small",0.9,0.2,15943,15943,"182","[[0 4] [1 6] [2 6] [3 9] [4 7] [5 3] [6 2] [7 1] [8 4] [9 5] [10 6] [11 5] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 438] [1 28] [2 252] [3 79] [4 82] [5 366] [6 456] [7 445] [8 257] [9 30] [10 33] [11 160] [12 460] [13 449] [14 426] [15 462] [16 462] [17 439] [18 458] [19 435] [20 434] [21 432] [22 451] [23 435]]",2259,5710,7969,0,438,28,252,79,82,366,456,445,257,30,33,160,460,449,426,462,462,439,458,435,434,432,451,435,4,6,6,9,7,3,2,1,4,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0
6,"Sit-and-Wait","Small","Small",0.9,0.2,17191,17191,"169","[[0 6] [1 6] [2 4] [3 4] [4 6] [5 6] [6 6] [7 7] [8 5] [9 3] [10 4] [11 6] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 185] [1 363] [2 82] [3 86] [4 159] [5 37] [6 446] [7 54] [8 306] [9 279] [10 87] [11 93] [12 553] [13 521] [14 534] [15 513] [16 527] [17 530] [18 535] [19 544] [20 530] [21 547] [22 544] [23 537]]",2046,6546,8592,0,185,363,82,86,159,37,446,54,306,279,87,93,553,521,534,513,527,530,535,544,530,547,544,537,6,6,4,4,6,6,6,7,5,3,4,6,0,0,0,0,0,0,0,0,0,0,0,0
9,"Sit-and-Wait","Small","Small",0.9,0.2,14074,14074,"134","[[0 4] [1 2] [2 4] [3 6] [4 3] [5 1] [6 2] [7 1] [8 2] [9 1] [10 4] [11 1] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 333] [1 350] [2 130] [3 12] [4 287] [5 335] [6 76] [7 329] [8 303] [9 358] [10 87] [11 347] [12 325] [13 331] [14 334] [15 362] [16 330] [17 363] [18 338] [19 343] [20 350] [21 336] [22 332] [23 344]]",2484,4551,7035,0,333,350,130,12,287,335,76,329,303,358,87,347,325,331,334,362,330,363,338,343,350,336,332,344,4,2,4,6,3,1,2,1,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0
11,"Sit-and-Wait","Small","Small",0.9,0.2,17066,17066,"150","[[0 8] [1 7] [2 2] [3 2] [4 3] [5 3] [6 3] [7 3] [8 5] [9 6] [10 5] [11 4] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 153] [1 142] [2 469] [3 455] [4 380] [5 90] [6 460] [7 210] [8 84] [9 156] [10 57] [11 400] [12 461] [13 474] [14 457] [15 446] [16 456] [17 450] [18 449] [19 438] [20 482] [21 453] [22 454] [23 456]]",3010,5522,8532,0,153,142,469,455,380,90,460,210,84,156,57,400,461,474,457,446,456,450,449,438,482,453,454,456,8,7,2,2,3,3,3,3,5,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0
7,"Sit-and-Wait","Small","Small",0.9,0.2,27343,27343,"260","[[0 9] [1 12] [2 10] [3 9] [4 10] [5 7] [6 7] [7 3] [8 7] [9 10] [10 9] [11 3] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 459] [1 32] [2 169] [3 305] [4 9] [5 169] [6 36] [7 854] [8 89] [9 120] [10 408] [11 838] [12 873] [13 858] [14 824] [15 858] [16 844] [17 829] [18 851] [19 863] [20 838] [21 848] [22 837] [23 857]]",3288,10380,13668,0,459,32,169,305,9,169,36,854,89,120,408,838,873,858,824,858,844,829,851,863,838,848,837,857,9,12,10,9,10,7,7,3,7,10,9,3,0,0,0,0,0,0,0,0,0,0,0,0
13,"Sit-and-Wait","Small","Small",0.9,0.2,11931,11931,"86","[[0 6] [1 2] [2 3] [3 5] [4 4] [5 2] [6 2] [7 4] [8 1] [9 3] [10 4] [11 2] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 80] [1 311] [2 118] [3 107] [4 109] [5 298] [6 281] [7 46] [8 313] [9 289] [10 62] [11 303] [12 296] [13 296] [14 306] [15 303] [16 314] [17 289] [18 304] [19 310] [20 307] [21 303] [22 313] [23 306]]",2456,3508,5964,0,80,311,118,107,109,298,281,46,313,289,62,303,296,296,306,303,314,289,304,310,307,303,313,306,6,2,3,5,4,2,2,4,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0
15,"Sit-and-Wait","Small","Small",0.9,0.2,2619,2619,"44","[[0 1] [1 1] [2 1] [3 5] [4 5] [5 1] [6 1] [7 0] [8 0] [9 0] [10 1] [11 1] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 50] [1 62] [2 59] [3 4] [4 4] [5 67] [6 68] [7 55] [8 56] [9 58] [10 53] [11 57] [12 65] [13 57] [14 63] [15 64] [16 50] [17 61] [18 56] [19 55] [20 60] [21 61] [22 60] [23 65]]",559,751,1310,0,50,62,59,4,4,67,68,55,56,58,53,57,65,57,63,64,50,61,56,55,60,61,60,65,1,1,1,5,5,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
14,"Sit-and-Wait","Small","Small",0.9,0.2,15077,15077,"98","[[0 6] [1 4] [2 6] [3 6] [4 5] [5 1] [6 3] [7 3] [8 3] [9 3] [10 1] [11 4] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 21] [1 64] [2 71] [3 47] [4 288] [5 401] [6 308] [7 293] [8 399] [9 390] [10 418] [11 66] [12 404] [13 413] [14 389] [15 397] [16 391] [17 389] [18 405] [19 391] [20 404] [21 387] [22 391] [23 409]]",2433,5103,7536,0,21,64,71,47,288,401,308,293,399,390,418,66,404,413,389,397,391,389,405,391,404,387,391,409,6,4,6,6,5,1,3,3,3,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0
12,"Sit-and-Wait","Small","Small",0.9,0.2,34040,34040,"338","[[0 14] [1 16] [2 11] [3 13] [4 16] [5 15] [6 11] [7 9] [8 12] [9 12] [10 13] [11 14] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 114] [1 174] [2 526] [3 68] [4 67] [5 206] [6 47] [7 633] [8 563] [9 219] [10 79] [11 89] [12 1170] [13 1176] [14 1202] [15 1188] [16 1180] [17 1184] [18 1204] [19 1188] [20 1175] [21 1205] [22 1179] [23 1180]]",8367,8649,17016,0,114,174,526,68,67,206,47,633,563,219,79,89,1170,1176,1202,1188,1180,1184,1204,1188,1175,1205,1179,1180,14,16,11,13,16,15,11,9,12,12,13,14,0,0,0,0,0,0,0,0,0,0,0,0
16,"Sit-and-Wait","Small","Small",0.9,0.2,15681,15681,"170","[[0 5] [1 4] [2 6] [3 7] [4 10] [5 6] [6 5] [7 8] [8 8] [9 4] [10 2] [11 4] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 297] [1 414] [2 17] [3 23] [4 289] [5 152] [6 179] [7 172] [8 145] [9 349] [10 435] [11 134] [12 429] [13 416] [14 439] [15 433] [16 439] [17 451] [18 429] [19 442] [20 441] [21 429] [22 440] [23 442]]",1956,5880,7836,0,297,414,17,23,289,152,179,172,145,349,435,134,429,416,439,433,439,451,429,442,441,429,440,442,5,4,6,7,10,6,5,8,8,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0
17,"Sit-and-Wait","Small","Small",0.9,0.2,7493,7493,"63","[[0 3] [1 0] [2 2] [3 3] [4 4] [5 1] [6 3] [7 2] [8 0] [9 1] [10 3] [11 3] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 169] [1 171] [2 159] [3 95] [4 178] [5 168] [6 69] [7 158] [8 173] [9 170] [10 13] [11 176] [12 165] [13 185] [14 173] [15 178] [16 144] [17 165] [18 172] [19 176] [20 174] [21 170] [22 157] [23 188]]",1851,1895,3746,0,169,171,159,95,178,168,69,158,173,170,13,176,165,185,173,178,144,165,172,176,174,170,157,188,3,0,2,3,4,1,3,2,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0
18,"Sit-and-Wait","Small","Small",0.9,0.2,29120,29120,"249","[[0 9] [1 12] [2 11] [3 8] [4 11] [5 10] [6 11] [7 8] [8 7] [9 9] [10 7] [11 7] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 924] [1 132] [2 163] [3 203] [4 173] [5 115] [6 125] [7 239] [8 512] [9 181] [10 406] [11 328] [12 923] [13 940] [14 919] [15 900] [16 911] [17 939] [18 928] [19 906] [20 917] [21 909] [22 935] [23 928]]",8148,6408,14556,0,924,132,163,203,173,115,125,239,512,181,406,328,923,940,919,900,911,939,928,906,917,909,935,928,9,12,11,8,11,10,11,8,7,9,7,7,0,0,0,0,0,0,0,0,0,0,0,0
20,"Sit-and-Wait","Small","Small",0.9,0.2,25716,25716,"160","[[0 8] [1 6] [2 8] [3 7] [4 5] [5 6] [6 5] [7 7] [8 2] [9 8] [10 7] [11 1] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 180] [1 260] [2 62] [3 61] [4 372] [5 92] [6 746] [7 314] [8 738] [9 134] [10 358] [11 731] [12 731] [13 727] [14 760] [15 744] [16 687] [17 724] [18 741] [19 765] [20 748] [21 747] [22 707] [23 725]]",3666,9188,12854,0,180,260,62,61,372,92,746,314,738,134,358,731,731,727,760,744,687,724,741,765,748,747,707,725,8,6,8,7,5,6,5,7,2,8,7,1,0,0,0,0,0,0,0,0,0,0,0,0
10,"Sit-and-Wait","Small","Small",0.9,0.2,87599,87600,"793","[[0 27] [1 26] [2 27] [3 30] [4 30] [5 28] [6 32] [7 21] [8 27] [9 22] [10 26] [11 23] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 516] [1 42] [2 219] [3 61] [4 53] [5 583] [6 57] [7 1133] [8 563] [9 295] [10 186] [11 610] [12 3278] [13 3281] [14 3279] [15 3288] [16 3298] [17 3287] [18 3282] [19 3285] [20 3290] [21 3307] [22 3327] [23 3280]]",11966,31834,43800,0,516,42,219,61,53,583,57,1133,563,295,186,610,3278,3281,3279,3288,3298,3287,3282,3285,3290,3307,3327,3280,27,26,27,30,30,28,32,21,27,22,26,23,0,0,0,0,0,0,0,0,0,0,0,0
19,"Sit-and-Wait","Small","Small",0.9,0.2,35550,35550,"351","[[0 15] [1 14] [2 11] [3 13] [4 15] [5 13] [6 8] [7 9] [8 9] [9 14] [10 13] [11 10] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 23] [1 79] [2 353] [3 156] [4 204] [5 266] [6 376] [7 493] [8 52] [9 244] [10 94] [11 9] [12 1279] [13 1302] [14 1277] [15 1263] [16 1280] [17 1285] [18 1305] [19 1281] [20 1289] [21 1292] [22 1278] [23 1292]]",5261,12511,17772,0,23,79,353,156,204,266,376,493,52,244,94,9,1279,1302,1277,1263,1280,1285,1305,1281,1289,1292,1278,1292,15,14,11,13,15,13,8,9,9,14,13,10,0,0,0,0,0,0,0,0,0,0,0,0
23,"Sit-and-Wait","Small","Small",0.9,0.2,7901,7901,"74","[[0 4] [1 2] [2 1] [3 2] [4 3] [5 1] [6 0] [7 3] [8 0] [9 3] [10 2] [11 4] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 75] [1 169] [2 180] [3 174] [4 96] [5 154] [6 194] [7 182] [8 171] [9 149] [10 167] [11 109] [12 183] [13 190] [14 159] [15 178] [16 173] [17 167] [18 182] [19 177] [20 177] [21 194] [22 176] [23 175]]",888,3063,3951,0,75,169,180,174,96,154,194,182,171,149,167,109,183,190,159,178,173,167,182,177,177,194,176,175,4,2,1,2,3,1,0,3,0,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0
21,"Sit-and-Wait","Small","Small",0.9,0.2,16753,16753,"154","[[0 7] [1 8] [2 5] [3 9] [4 11] [5 9] [6 8] [7 8] [8 5] [9 1] [10 5] [11 2] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 182] [1 63] [2 109] [3 77] [4 27] [5 102] [6 21] [7 106] [8 106] [9 554] [10 101] [11 536] [12 517] [13 509] [14 540] [15 541] [16 534] [17 539] [18 557] [19 539] [20 537] [21 543] [22 510] [23 526]]",2249,6127,8376,0,182,63,109,77,27,102,21,106,106,554,101,536,517,509,540,541,534,539,557,539,537,543,510,526,7,8,5,9,11,9,8,8,5,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0
24,"Sit-and-Wait","Small","Small",0.9,0.2,10041,10041,"64","[[0 5] [1 3] [2 3] [3 1] [4 2] [5 1] [6 3] [7 2] [8 3] [9 2] [10 0] [11 2] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 230] [1 200] [2 220] [3 232] [4 94] [5 228] [6 80] [7 217] [8 91] [9 207] [10 246] [11 230] [12 231] [13 218] [14 225] [15 239] [16 226] [17 226] [18 226] [19 227] [20 230] [21 247] [22 229] [23 220]]",2008,3011,5019,0,230,200,220,232,94,228,80,217,91,207,246,230,231,218,225,239,226,226,226,227,230,247,229,220,5,3,3,1,2,1,3,2,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
27,"Sit-and-Wait","Small","Small",0.9,0.2,2405,2405,"16","[[0 3] [1 1] [2 0] [3 1] [4 0] [5 1] [6 0] [7 0] [8 0] [9 0] [10 0] [11 0] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 43] [1 55] [2 47] [3 44] [4 53] [5 52] [6 44] [7 53] [8 54] [9 50] [10 49] [11 53] [12 55] [13 50] [14 47] [15 54] [16 46] [17 50] [18 54] [19 51] [20 50] [21 50] [22 49] [23 49]]",583,619,1202,0,43,55,47,44,53,52,44,53,54,50,49,53,55,50,47,54,46,50,54,51,50,50,49,49,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,"Sit-and-Wait","Small","Small",0.9,0.2,11908,11908,"144","[[0 12] [1 7] [2 11] [3 7] [4 6] [5 3] [6 3] [7 3] [8 1] [9 2] [10 3] [11 3] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 43] [1 206] [2 75] [3 124] [4 103] [5 243] [6 321] [7 138] [8 320] [9 267] [10 69] [11 192] [12 320] [13 304] [14 327] [15 334] [16 324] [17 311] [18 326] [19 319] [20 325] [21 334] [22 306] [23 321]]",2113,3839,5952,0,43,206,75,124,103,243,321,138,320,267,69,192,320,304,327,334,324,311,326,319,325,334,306,321,12,7,11,7,6,3,3,3,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0
25,"Sit-and-Wait","Small","Small",0.9,0.2,14434,14434,"162","[[0 4] [1 7] [2 4] [3 3] [4 5] [5 8] [6 3] [7 2] [8 2] [9 3] [10 6] [11 5] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 136] [1 69] [2 122] [3 118] [4 30] [5 90] [6 146] [7 424] [8 411] [9 434] [10 125] [11 118] [12 401] [13 431] [14 415] [15 402] [16 416] [17 419] [18 408] [19 433] [20 412] [21 434] [22 404] [23 417]]",2267,4948,7215,0,136,69,122,118,30,90,146,424,411,434,125,118,401,431,415,402,416,419,408,433,412,434,404,417,4,7,4,3,5,8,3,2,2,3,6,5,0,0,0,0,0,0,0,0,0,0,0,0
29,"Sit-and-Wait","Small","Small",0.9,0.2,4715,4715,"49","[[0 2] [1 0] [2 0] [3 1] [4 1] [5 1] [6 2] [7 1] [8 1] [9 3] [10 4] [11 2] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 111] [1 94] [2 101] [3 110] [4 113] [5 105] [6 81] [7 112] [8 98] [9 55] [10 29] [11 93] [12 87] [13 107] [14 103] [15 91] [16 111] [17 100] [18 103] [19 118] [20 104] [21 104] [22 121] [23 106]]",893,1464,2357,0,111,94,101,110,113,105,81,112,98,55,29,93,87,107,103,91,111,100,103,118,104,104,121,106,2,0,0,1,1,1,2,1,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0
22,"Sit-and-Wait","Small","Small",0.9,0.2,22618,22618,"246","[[0 14] [1 11] [2 7] [3 8] [4 6] [5 5] [6 6] [7 6] [8 5] [9 6] [10 7] [11 4] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 104] [1 67] [2 518] [3 67] [4 169] [5 268] [6 305] [7 318] [8 359] [9 259] [10 87] [11 232] [12 720] [13 689] [14 705] [15 719] [16 729] [17 712] [18 699] [19 712] [20 725] [21 709] [22 713] [23 719]]",3202,8102,11304,0,104,67,518,67,169,268,305,318,359,259,87,232,720,689,705,719,729,712,699,712,725,709,713,719,14,11,7,8,6,5,6,6,5,6,7,4,0,0,0,0,0,0,0,0,0,0,0,0
28,"Sit-and-Wait","Small","Small",0.9,0.2,16949,16949,"158","[[0 5] [1 5] [2 8] [3 7] [4 4] [5 2] [6 4] [7 10] [8 8] [9 9] [10 1] [11 1] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 228] [1 426] [2 102] [3 154] [4 186] [5 434] [6 430] [7 66] [8 171] [9 109] [10 452] [11 437] [12 449] [13 434] [14 431] [15 444] [16 440] [17 439] [18 449] [19 429] [20 433] [21 457] [22 434] [23 439]]",2708,5765,8473,0,228,426,102,154,186,434,430,66,171,109,452,437,449,434,431,444,440,439,449,429,433,457,434,439,5,5,8,7,4,2,4,10,8,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0
30,"Sit-and-Wait","Small","Small",0.9,0.2,13975,13975,"131","[[0 7] [1 6] [2 12] [3 8] [4 1] [5 2] [6 4] [7 3] [8 5] [9 3] [10 2] [11 3] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 72] [1 328] [2 76] [3 132] [4 388] [5 363] [6 303] [7 115] [8 97] [9 305] [10 372] [11 45] [12 359] [13 372] [14 358] [15 373] [16 367] [17 367] [18 378] [19 355] [20 358] [21 370] [22 385] [23 347]]",1470,5515,6985,0,72,328,76,132,388,363,303,115,97,305,372,45,359,372,358,373,367,367,378,355,358,370,385,347,7,6,12,8,1,2,4,3,5,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0
