"","metric","parameter","index","value","seed"
"1","mean","Detection-prob-black","mustar",88.8200669416994,-1457594511
"2","mean","Detection-prob-white","mustar",94.4854624745166,-1457594511
"3","mean","Hours-Pred-Active-Until","mustar",102.976057996339,-1457594511
"4","mean","Detection-prob-black","mu",-25.6610457507847,-1457594511
"5","mean","Detection-prob-white","mu",23.5086376752261,-1457594511
"6","mean","Hours-Pred-Active-Until","mu",10.1488937632478,-1457594511
"7","mean","Detection-prob-black","sigma",134.567943400293,-1457594511
"8","mean","Detection-prob-white","sigma",138.691246668024,-1457594511
"9","mean","Hours-Pred-Active-Until","sigma",149.033377003997,-1457594511
"10","mean","Detection-prob-black","mustar",92.0488090825364,-649262402
"11","mean","Detection-prob-white","mustar",101.151995922361,-649262402
"12","mean","Hours-Pred-Active-Until","mustar",101.082063501839,-649262402
"13","mean","Detection-prob-black","mu",-8.7995327786797,-649262402
"14","mean","Detection-prob-white","mu",-56.8140054201286,-649262402
"15","mean","Hours-Pred-Active-Until","mu",5.73362765797941,-649262402
"16","mean","Detection-prob-black","sigma",119.519974563669,-649262402
"17","mean","Detection-prob-white","sigma",127.456903773462,-649262402
"18","mean","Hours-Pred-Active-Until","sigma",135.646964678504,-649262402
"19","mean","Detection-prob-black","mustar",98.6209003319598,-1873519916
"20","mean","Detection-prob-white","mustar",99.8849410975058,-1873519916
"21","mean","Hours-Pred-Active-Until","mustar",111.769382856571,-1873519916
"22","mean","Detection-prob-black","mu",-38.5780507277496,-1873519916
"23","mean","Detection-prob-white","mu",23.8721297203754,-1873519916
"24","mean","Hours-Pred-Active-Until","mu",-8.05365948296736,-1873519916
"25","mean","Detection-prob-black","sigma",146.876890938465,-1873519916
"26","mean","Detection-prob-white","sigma",123.117365666748,-1873519916
"27","mean","Hours-Pred-Active-Until","sigma",151.688290539862,-1873519916
"28","mean","Detection-prob-black","mustar",91.519557923611,-1697840814
"29","mean","Detection-prob-white","mustar",69.6486269931146,-1697840814
"30","mean","Hours-Pred-Active-Until","mustar",112.403813824992,-1697840814
"31","mean","Detection-prob-black","mu",8.61750685391829,-1697840814
"32","mean","Detection-prob-white","mu",3.69970919534845,-1697840814
"33","mean","Hours-Pred-Active-Until","mu",15.5414464391661,-1697840814
"34","mean","Detection-prob-black","sigma",127.338852438871,-1697840814
"35","mean","Detection-prob-white","sigma",117.048081768906,-1697840814
"36","mean","Hours-Pred-Active-Until","sigma",156.241009322347,-1697840814
"37","mean","Detection-prob-black","mustar",95.3482363086106,-65783824
"38","mean","Detection-prob-white","mustar",116.420889383477,-65783824
"39","mean","Hours-Pred-Active-Until","mustar",75.6648849255312,-65783824
"40","mean","Detection-prob-black","mu",20.9896950287995,-65783824
"41","mean","Detection-prob-white","mu",-23.4913408252098,-65783824
"42","mean","Hours-Pred-Active-Until","mu",12.7817836936971,-65783824
"43","mean","Detection-prob-black","sigma",118.587896196058,-65783824
"44","mean","Detection-prob-white","sigma",145.010802726316,-65783824
"45","mean","Hours-Pred-Active-Until","sigma",117.831498157479,-65783824
