"","metric","parameter","index","value","seed"
"1","mean","Detection-prob-black","mustar",82.8232462753558,1821025661
"2","mean","Detection-prob-white","mustar",90.3901417494971,1821025661
"3","mean","Hours-Pred-Active-Until","mustar",96.949712779818,1821025661
"4","mean","Detection-prob-black","mu",16.5451956183222,1821025661
"5","mean","Detection-prob-white","mu",-32.9465865780056,1821025661
"6","mean","Hours-Pred-Active-Until","mu",8.94142177112348,1821025661
"7","mean","Detection-prob-black","sigma",127.232802277445,1821025661
"8","mean","Detection-prob-white","sigma",136.085525524805,1821025661
"9","mean","Hours-Pred-Active-Until","sigma",136.772274268408,1821025661
"10","mean","Detection-prob-black","mustar",99.2401679649406,686606333
"11","mean","Detection-prob-white","mustar",92.0738778234218,686606333
"12","mean","Hours-Pred-Active-Until","mustar",89.3012898157491,686606333
"13","mean","Detection-prob-black","mu",-47.4422756126609,686606333
"14","mean","Detection-prob-white","mu",7.49506810371874,686606333
"15","mean","Hours-Pred-Active-Until","mu",-45.2496810177159,686606333
"16","mean","Detection-prob-black","sigma",120.506059418199,686606333
"17","mean","Detection-prob-white","sigma",123.313847792205,686606333
"18","mean","Hours-Pred-Active-Until","sigma",113.397919466511,686606333
"19","mean","Detection-prob-black","mustar",98.7440393733683,-1670571642
"20","mean","Detection-prob-white","mustar",75.6841361053362,-1670571642
"21","mean","Hours-Pred-Active-Until","mustar",96.7408289033113,-1670571642
"22","mean","Detection-prob-black","mu",2.55396578365609,-1670571642
"23","mean","Detection-prob-white","mu",-21.0088836386641,-1670571642
"24","mean","Hours-Pred-Active-Until","mu",38.3200356629798,-1670571642
"25","mean","Detection-prob-black","sigma",134.550074792739,-1670571642
"26","mean","Detection-prob-white","sigma",102.130353072063,-1670571642
"27","mean","Hours-Pred-Active-Until","sigma",116.342791159346,-1670571642
"28","mean","Detection-prob-black","mustar",97.6307552769219,-1223230765
"29","mean","Detection-prob-white","mustar",75.4560873482001,-1223230765
"30","mean","Hours-Pred-Active-Until","mustar",75.2979422858213,-1223230765
"31","mean","Detection-prob-black","mu",-36.7398560495655,-1223230765
"32","mean","Detection-prob-white","mu",-5.05969007848044,-1223230765
"33","mean","Hours-Pred-Active-Until","mu",32.0154340054885,-1223230765
"34","mean","Detection-prob-black","sigma",111.569987345065,-1223230765
"35","mean","Detection-prob-white","sigma",108.340518275044,-1223230765
"36","mean","Hours-Pred-Active-Until","sigma",100.531058943067,-1223230765
"37","mean","Detection-prob-black","mustar",59.9656215018519,50634509
"38","mean","Detection-prob-white","mustar",96.6594780071672,50634509
"39","mean","Hours-Pred-Active-Until","mustar",99.7863407956411,50634509
"40","mean","Detection-prob-black","mu",-20.6816092493469,50634509
"41","mean","Detection-prob-white","mu",28.899749944746,50634509
"42","mean","Hours-Pred-Active-Until","mu",52.8740201873313,50634509
"43","mean","Detection-prob-black","sigma",87.3060796261744,50634509
"44","mean","Detection-prob-white","sigma",125.585539489138,50634509
"45","mean","Hours-Pred-Active-Until","sigma",118.844994346494,50634509
