"","metric","parameter","index","value","seed"
"1","mean","Detection-prob-black","mustar",75.3206154238497,327973904
"2","mean","Detection-prob-white","mustar",69.9737290258729,327973904
"3","mean","Hours-Pred-Active-Until","mustar",80.6483657186218,327973904
"4","mean","Detection-prob-black","mu",-10.0951958635968,327973904
"5","mean","Detection-prob-white","mu",-11.1711274140264,327973904
"6","mean","Hours-Pred-Active-Until","mu",14.9787863825764,327973904
"7","mean","Detection-prob-black","sigma",101.374438728372,327973904
"8","mean","Detection-prob-white","sigma",100.96734008779,327973904
"9","mean","Hours-Pred-Active-Until","sigma",112.572872102154,327973904
"10","mean","Detection-prob-black","mustar",81.8477888529881,1063101924
"11","mean","Detection-prob-white","mustar",70.5209738774444,1063101924
"12","mean","Hours-Pred-Active-Until","mustar",102.722918120383,1063101924
"13","mean","Detection-prob-black","mu",-8.73289356037954,1063101924
"14","mean","Detection-prob-white","mu",14.6995534248774,1063101924
"15","mean","Hours-Pred-Active-Until","mu",-59.9482911005276,1063101924
"16","mean","Detection-prob-black","sigma",118.159981016236,1063101924
"17","mean","Detection-prob-white","sigma",117.83265277652,1063101924
"18","mean","Hours-Pred-Active-Until","sigma",112.590007428111,1063101924
"19","mean","Detection-prob-black","mustar",94.7982639393043,1711425353
"20","mean","Detection-prob-white","mustar",98.3283737363337,1711425353
"21","mean","Hours-Pred-Active-Until","mustar",111.526798255588,1711425353
"22","mean","Detection-prob-black","mu",6.12848518731825,1711425353
"23","mean","Detection-prob-white","mu",14.195973844778,1711425353
"24","mean","Hours-Pred-Active-Until","mu",-20.4065826859097,1711425353
"25","mean","Detection-prob-black","sigma",126.748349318251,1711425353
"26","mean","Detection-prob-white","sigma",135.635585466922,1711425353
"27","mean","Hours-Pred-Active-Until","sigma",141.289091417084,1711425353
"28","mean","Detection-prob-black","mustar",81.583264184432,-2030784660
"29","mean","Detection-prob-white","mustar",63.3405713093708,-2030784660
"30","mean","Hours-Pred-Active-Until","mustar",89.4941690941605,-2030784660
"31","mean","Detection-prob-black","mu",-34.863810957264,-2030784660
"32","mean","Detection-prob-white","mu",7.16391870507895,-2030784660
"33","mean","Hours-Pred-Active-Until","mu",33.5575326256297,-2030784660
"34","mean","Detection-prob-black","sigma",111.721213754255,-2030784660
"35","mean","Detection-prob-white","sigma",104.622407375948,-2030784660
"36","mean","Hours-Pred-Active-Until","sigma",137.932471652096,-2030784660
"37","mean","Detection-prob-black","mustar",111.288433844939,-390365493
"38","mean","Detection-prob-white","mustar",105.096651865029,-390365493
"39","mean","Hours-Pred-Active-Until","mustar",123.465733156907,-390365493
"40","mean","Detection-prob-black","mu",32.7871007848276,-390365493
"41","mean","Detection-prob-white","mu",16.3839764738865,-390365493
"42","mean","Hours-Pred-Active-Until","mu",30.6624994977009,-390365493
"43","mean","Detection-prob-black","sigma",142.258271992398,-390365493
"44","mean","Detection-prob-white","sigma",148.926816227056,-390365493
"45","mean","Hours-Pred-Active-Until","sigma",169.558875129219,-390365493
