"","metric","parameter","index","value","seed"
"1","mean","Detection-prob-black","mustar",88.0311689144806,-1430573758
"2","mean","Detection-prob-white","mustar",93.1158568987561,-1430573758
"3","mean","Hours-Pred-Active-Until","mustar",89.3009782902218,-1430573758
"4","mean","Detection-prob-black","mu",4.43663433887951,-1430573758
"5","mean","Detection-prob-white","mu",-15.924984761518,-1430573758
"6","mean","Hours-Pred-Active-Until","mu",57.3310213235355,-1430573758
"7","mean","Detection-prob-black","sigma",134.631020900286,-1430573758
"8","mean","Detection-prob-white","sigma",125.943258764663,-1430573758
"9","mean","Hours-Pred-Active-Until","sigma",110.600222578748,-1430573758
"10","mean","Detection-prob-black","mustar",60.1465865876734,-420883797
"11","mean","Detection-prob-white","mustar",63.9446365355802,-420883797
"12","mean","Hours-Pred-Active-Until","mustar",74.0224766905905,-420883797
"13","mean","Detection-prob-black","mu",2.50125916440203,-420883797
"14","mean","Detection-prob-white","mu",22.9467285315927,-420883797
"15","mean","Hours-Pred-Active-Until","mu",-36.2969806817036,-420883797
"16","mean","Detection-prob-black","sigma",84.9561321573416,-420883797
"17","mean","Detection-prob-white","sigma",93.2676651919667,-420883797
"18","mean","Hours-Pred-Active-Until","sigma",95.990837657298,-420883797
"19","mean","Detection-prob-black","mustar",92.4227743899148,1039040790
"20","mean","Detection-prob-white","mustar",121.705153930861,1039040790
"21","mean","Hours-Pred-Active-Until","mustar",105.164613914742,1039040790
"22","mean","Detection-prob-black","mu",-40.4950270757647,1039040790
"23","mean","Detection-prob-white","mu",0.375354388398002,1039040790
"24","mean","Hours-Pred-Active-Until","mu",55.785596020644,1039040790
"25","mean","Detection-prob-black","sigma",128.677247336314,1039040790
"26","mean","Detection-prob-white","sigma",177.946434031844,1039040790
"27","mean","Hours-Pred-Active-Until","sigma",151.531695467009,1039040790
"28","mean","Detection-prob-black","mustar",87.9410554167011,1372707377
"29","mean","Detection-prob-white","mustar",72.6482568366119,1372707377
"30","mean","Hours-Pred-Active-Until","mustar",84.2205123484023,1372707377
"31","mean","Detection-prob-black","mu",-40.3536389001278,1372707377
"32","mean","Detection-prob-white","mu",-12.9806054084901,1372707377
"33","mean","Hours-Pred-Active-Until","mu",71.8732814930682,1372707377
"34","mean","Detection-prob-black","sigma",125.522074806942,1372707377
"35","mean","Detection-prob-white","sigma",119.07163468153,1372707377
"36","mean","Hours-Pred-Active-Until","sigma",95.7275935881567,1372707377
"37","mean","Detection-prob-black","mustar",72.8894209886213,767535389
"38","mean","Detection-prob-white","mustar",78.5804584204071,767535389
"39","mean","Hours-Pred-Active-Until","mustar",82.6130566282117,767535389
"40","mean","Detection-prob-black","mu",2.52632172039512,767535389
"41","mean","Detection-prob-white","mu",15.4089603137386,767535389
"42","mean","Hours-Pred-Active-Until","mu",-5.49672546857255,767535389
"43","mean","Detection-prob-black","sigma",104.284374692853,767535389
"44","mean","Detection-prob-white","sigma",114.174585140178,767535389
"45","mean","Hours-Pred-Active-Until","sigma",108.692303397494,767535389
