"","metric","parameter","index","value","seed"
"1","mean","Detection-prob-black","mustar",91.976636600221,960811993
"2","mean","Detection-prob-white","mustar",102.04071404708,960811993
"3","mean","Hours-Pred-Active-Until","mustar",100.676789132908,960811993
"4","mean","Detection-prob-black","mu",-15.7182645507419,960811993
"5","mean","Detection-prob-white","mu",-10.0849270542592,960811993
"6","mean","Hours-Pred-Active-Until","mu",-18.8538536716327,960811993
"7","mean","Detection-prob-black","sigma",132.322893265107,960811993
"8","mean","Detection-prob-white","sigma",138.272369949879,960811993
"9","mean","Hours-Pred-Active-Until","sigma",137.692146079632,960811993
"10","mean","Detection-prob-black","mustar",72.1008959206063,-96879478
"11","mean","Detection-prob-white","mustar",69.2762312941025,-96879478
"12","mean","Hours-Pred-Active-Until","mustar",78.223653251819,-96879478
"13","mean","Detection-prob-black","mu",-22.9567167551804,-96879478
"14","mean","Detection-prob-white","mu",14.9908379940868,-96879478
"15","mean","Hours-Pred-Active-Until","mu",15.4529810493745,-96879478
"16","mean","Detection-prob-black","sigma",101.165612414346,-96879478
"17","mean","Detection-prob-white","sigma",100.922874450166,-96879478
"18","mean","Hours-Pred-Active-Until","sigma",111.400793916074,-96879478
