"BehaviorSpace results (NetLogo 6.2.1)"
"YEAR_MODELS_8x12_death_Space_Time_EVENHabitat_Nov19Final.nlogo"
"YEAR5_MODELS"
"11/30/2021 16:45:23:087 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","7","0","11"
"[run number]","Predator-Strategy","Prey-Starting-Condition","Predator-Starting-Condition","Detection-prob-black","Detection-prob-white","[step]","ticks","[nearby] of preys","mapAware-table [1] of one-of patches","hour-map-prey [1]","[p-black] of one-of preys","[p-white] of one-of preys","[domain-overlap] of one-of preys","[domain-prey] of one-of preys"
"12","Sit-and-Wait","Small","Small","0.55","0.55","7755","7755","[60]","[[0 5] [1 4] [2 6] [3 2] [4 2] [5 1] [6 0] [7 3] [8 1] [9 1] [10 2] [11 1] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 71] [1 72] [2 11] [3 174] [4 150] [5 170] [6 192] [7 88] [8 187] [9 194] [10 180] [11 173] [12 188] [13 184] [14 206] [15 169] [16 190] [17 194] [18 171] [19 171] [20 191] [21 180] [22 197] [23 173]]","2356","1520","3876","0"
"15","Sit-and-Wait","Small","Small","0.55","0.55","127","127","[3]","[[0 0] [1 0] [2 0] [3 0] [4 1] [5 1] [6 0] [7 0] [8 0] [9 0] [10 0] [11 0] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 4] [1 0] [2 4] [3 3] [4 2] [5 4] [6 2] [7 1] [8 4] [9 2] [10 3] [11 3] [12 5] [13 1] [14 4] [15 3] [16 3] [17 3] [18 1] [19 1] [20 1] [21 2] [22 4] [23 2]]","33","29","62","0"
"9","Sit-and-Wait","Small","Small","0.55","0.55","22955","22955","[206]","[[0 12] [1 9] [2 12] [3 10] [4 14] [5 6] [6 10] [7 7] [8 9] [9 8] [10 10] [11 9] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 33] [1 188] [2 71] [3 258] [4 88] [5 305] [6 517] [7 399] [8 96] [9 143] [10 14] [11 421] [12 758] [13 731] [14 769] [15 758] [16 748] [17 758] [18 744] [19 723] [20 746] [21 754] [22 722] [23 728]]","5382","6090","11472","0"
"17","Sit-and-Wait","Small","Small","0.55","0.55","5689","5689","[37]","[[0 2] [1 4] [2 1] [3 2] [4 3] [5 3] [6 1] [7 3] [8 0] [9 2] [10 1] [11 0] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 145] [1 77] [2 134] [3 114] [4 13] [5 70] [6 112] [7 25] [8 128] [9 134] [10 133] [11 125] [12 130] [13 138] [14 128] [15 129] [16 145] [17 150] [18 125] [19 139] [20 131] [21 140] [22 136] [23 144]]","1209","1636","2845","0"
"14","Sit-and-Wait","Small","Small","0.55","0.55","6537","6537","[52]","[[0 4] [1 3] [2 5] [3 4] [4 1] [5 3] [6 1] [7 3] [8 2] [9 4] [10 2] [11 3] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 81] [1 119] [2 57] [3 143] [4 147] [5 68] [6 154] [7 100] [8 71] [9 68] [10 166] [11 155] [12 146] [13 174] [14 169] [15 168] [16 167] [17 155] [18 160] [19 155] [20 158] [21 160] [22 174] [23 151]]","1461","1805","3266","0"
"13","Sit-and-Wait","Small","Small","0.55","0.55","18300","18300","[208]","[[0 6] [1 7] [2 5] [3 6] [4 8] [5 12] [6 12] [7 13] [8 11] [9 11] [10 6] [11 12] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 265] [1 62] [2 86] [3 98] [4 400] [5 81] [6 88] [7 208] [8 163] [9 267] [10 394] [11 30] [12 593] [13 580] [14 587] [15 584] [16 587] [17 590] [18 585] [19 584] [20 580] [21 568] [22 560] [23 604]]","5385","3759","9144","0"
"20","Sit-and-Wait","Small","Small","0.55","0.55","1610","1610","[20]","[[0 1] [1 0] [2 1] [3 0] [4 1] [5 2] [6 1] [7 0] [8 1] [9 1] [10 2] [11 1] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 33] [1 37] [2 24] [3 40] [4 30] [5 32] [6 34] [7 43] [8 40] [9 36] [10 27] [11 34] [12 34] [13 34] [14 26] [15 21] [16 34] [17 38] [18 37] [19 36] [20 27] [21 35] [22 39] [23 34]]","444","361","805","0"
"19","Sit-and-Wait","Small","Small","0.55","0.55","9914","9914","[67]","[[0 7] [1 4] [2 5] [3 1] [4 2] [5 1] [6 4] [7 3] [8 3] [9 1] [10 2] [11 5] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 117] [1 117] [2 148] [3 244] [4 166] [5 254] [6 55] [7 251] [8 124] [9 249] [10 218] [11 21] [12 226] [13 227] [14 264] [15 252] [16 244] [17 238] [18 253] [19 249] [20 257] [21 274] [22 252] [23 256]]","3051","1905","4956","0"
"18","Sit-and-Wait","Small","Small","0.55","0.55","13572","13572","[90]","[[0 8] [1 3] [2 7] [3 4] [4 3] [5 3] [6 3] [7 4] [8 4] [9 1] [10 2] [11 4] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 133] [1 338] [2 231] [3 326] [4 212] [5 253] [6 190] [7 188] [8 90] [9 323] [10 320] [11 149] [12 324] [13 336] [14 332] [15 348] [16 309] [17 336] [18 340] [19 335] [20 331] [21 350] [22 343] [23 344]]","3080","3701","6781","0"
"16","Sit-and-Wait","Small","Small","0.55","0.55","27315","27315","[267]","[[0 12] [1 16] [2 12] [3 11] [4 16] [5 8] [6 14] [7 15] [8 11] [9 10] [10 13] [11 11] [12 0] [13 0] [14 0] [15 0] [16 0] [17 0] [18 0] [19 0] [20 0] [21 0] [22 0] [23 0]]","[[0 281] [1 92] [2 189] [3 80] [4 64] [5 349] [6 77] [7 155] [8 208] [9 141] [10 191] [11 128] [12 965] [13 996] [14 975] [15 969] [16 964] [17 969] [18 981] [19 980] [20 984] [21 994] [22 979] [23 945]]","7252","6404","13656","0"
